# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).  Made with Strauss code. 
1.40197708e+02,2.00864935e+00,6.39229894e-01,2.77971774e-01,4.13527720e+07
1.41578506e+02,4.57253354e-03,1.04711747e+00,2.62519598e-01,1.49614840e+07
1.42544815e+02,3.13473105e+00,5.63582420e-01,6.61842167e-01,2.80249200e+07
1.43131287e+02,3.13963819e+00,3.85542583e+00,3.81059974e-01,1.81954600e+07
1.44097458e+02,3.13592768e+00,1.48794317e+00,4.82504696e-01,2.33663780e+07
1.40484528e+02,6.84349425e-03,4.04948902e+00,2.47297049e-01,4.09896200e+07
1.40811249e+02,4.77534207e-03,2.37715840e+00,2.70827502e-01,1.90384540e+07
1.40378922e+02,1.96388459e+00,3.09391427e+00,1.47357345e-01,2.30155680e+07
1.50404068e+02,3.13916039e+00,2.63197899e+00,5.89081466e-01,2.25215140e+07
1.53576797e+02,4.87789745e-03,2.33191490e-01,1.26019514e+00,6.36151040e+07
1.42993469e+02,3.13590240e+00,3.82816219e+00,3.98040175e-01,2.17757580e+07
1.40024170e+02,2.79198003e+00,2.79022169e+00,7.50784874e-02,2.16392480e+07
1.43558441e+02,6.45047380e-03,3.40271878e+00,1.76157534e-01,3.27724720e+07
1.52708374e+02,3.14149451e+00,5.91976595e+00,5.37460208e-01,2.15371460e+07
1.64904800e+02,3.44365858e-03,3.54786205e+00,7.25314796e-01,2.35829240e+07
1.52650009e+02,1.82332506e-03,9.16479111e-01,4.13744777e-01,1.96888400e+07
1.41725815e+02,3.82826873e-03,4.71863842e+00,3.85175884e-01,4.62779760e+07
1.40040909e+02,2.28336859e+00,5.37558675e-01,2.35267982e-01,2.53553100e+07
1.40024261e+02,2.65235639e+00,4.61347628e+00,1.10234633e-01,2.41068980e+07
1.42983414e+02,1.44604547e-03,3.20218468e+00,7.03828454e-01,3.88492200e+07
1.40612289e+02,1.28830047e-02,4.36038554e-01,2.20055744e-01,1.35616030e+07
1.40163330e+02,2.74823380e+00,5.08738422e+00,6.11063361e-01,3.37688080e+07
1.40278809e+02,2.23847365e+00,3.70049000e+00,2.99535632e-01,2.87112080e+07
1.42131058e+02,3.59109254e-04,4.45488548e+00,5.38633347e-01,3.53414760e+07
1.41063614e+02,1.49804810e-02,5.01874208e+00,5.65441489e-01,6.24179320e+07
1.40106583e+02,3.67737323e-01,3.50797367e+00,1.23075701e-01,1.41244720e+07
1.40036484e+02,3.06411195e+00,3.67952967e+00,2.51288742e-01,3.84000440e+07
1.40413101e+02,6.49478287e-02,1.70820248e+00,3.87545764e-01,3.84815760e+07
1.42548325e+02,5.34155266e-03,1.74218273e+00,6.87791705e-01,3.61003200e+07
1.43997498e+02,4.45475569e-03,5.47254372e+00,3.26695949e-01,3.70409280e+07
1.43538528e+02,3.13978624e+00,5.04958725e+00,2.33714983e-01,1.47206280e+07
1.40400208e+02,3.13829827e+00,4.88692093e+00,2.76519030e-01,1.78165980e+07
1.45316681e+02,6.46350952e-03,1.78457737e+00,3.57460946e-01,3.32366040e+07
1.40305740e+02,3.13854933e+00,6.08478069e+00,3.12211454e-01,2.89120460e+07
1.40232956e+02,8.41997445e-01,5.82009649e+00,1.48358151e-01,1.91618740e+07
1.40179428e+02,3.13170147e+00,6.25039673e+00,1.07866085e+00,1.98507820e+07
1.70171585e+02,1.64724712e-03,4.37338924e+00,8.60331476e-01,3.53594280e+07
1.43007690e+02,3.14081264e+00,3.87149525e+00,7.53942311e-01,1.34172390e+07
1.40154373e+02,2.65693808e+00,5.37829065e+00,6.52824938e-01,6.16762880e+07
1.45707626e+02,1.03437435e-02,5.53718328e+00,9.67078984e-01,1.49551260e+07
1.40512497e+02,1.00039041e+00,6.25593519e+00,1.58864677e-01,4.25570520e+07
1.47726700e+02,1.73237495e-04,2.84286022e+00,6.76430166e-01,4.19829600e+07
1.40283295e+02,3.13265038e+00,5.30788720e-01,6.54380262e-01,4.14556240e+07
