# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
# First line contains initial point of trajectory:
1.68795273e+02,5.84885851e-03,2.24759388e+00,6.87906504e-01,1.96869700e+07
1.41084320e+02,2.13585738e-02,4.26095533e+00,3.34869444e-01,5.21654750e+06
1.41164780e+02,2.25605862e-03,1.63320112e+00,5.56319118e-01,3.54604080e+07
1.54284653e+02,2.30247956e-02,4.56638193e+00,4.25064117e-01,3.16691720e+07
1.41550583e+02,3.12284708e+00,3.99597001e+00,7.12709010e-01,2.11840900e+07
1.45802994e+02,3.13712811e+00,4.94845390e-01,4.53247845e-01,5.65674550e+06
1.40512482e+02,1.45075927e-02,2.18671131e+00,3.39811593e-01,1.22604580e+07
1.40114670e+02,3.13939619e+00,3.27258968e+00,9.09916461e-01,1.24003340e+07
1.54553802e+02,6.16143784e-03,1.87053204e+00,4.01842028e-01,8.54252700e+06
1.41359726e+02,1.41868861e-02,6.05636692e+00,6.28630638e-01,1.30518410e+07
1.42090988e+02,3.14001632e+00,2.45533800e+00,4.44727719e-01,1.15655670e+07
1.40447510e+02,3.13302255e+00,2.38589859e+00,4.02943730e-01,7.65914000e+06
1.46284012e+02,8.31277343e-04,1.27324486e+00,7.73144782e-01,3.09241640e+07
1.52024277e+02,1.87961746e-03,1.14654160e+00,7.05439985e-01,1.45811260e+07
1.41461456e+02,3.13667369e+00,3.13132381e+00,8.43179941e-01,9.56953000e+06
1.40026199e+02,2.88041949e+00,4.64311409e+00,2.53703535e-01,6.60969650e+06
1.40123917e+02,1.72554874e+00,4.64678049e+00,4.08912480e-01,2.10449620e+07
1.40189987e+02,4.30334266e-03,1.07173130e-01,3.93630147e-01,1.29044850e+07
1.42185165e+02,1.59666725e-02,1.70429564e+00,6.55917287e-01,1.12117630e+07
1.42922928e+02,3.13653111e+00,2.47706461e+00,2.59594113e-01,6.20353300e+06
1.73966217e+02,3.08198482e-03,2.63701534e+00,1.05076885e+00,1.02068260e+07
1.40015991e+02,1.11724591e+00,3.40932488e+00,3.14408422e-01,1.94670580e+07
1.44621780e+02,3.14050746e+00,5.31611729e+00,4.67565060e-01,9.92670000e+06
1.40070923e+02,3.13208985e+00,6.02931023e+00,3.99826497e-01,9.47640400e+06
1.62648773e+02,4.81522735e-03,4.11372185e-01,1.16363430e+00,1.45889800e+07
1.41638077e+02,1.02015473e-02,4.98209447e-02,4.66540098e-01,1.77679780e+07
1.60076294e+02,3.13782763e+00,5.85210848e+00,8.72265399e-01,1.38892270e+07
1.40330994e+02,3.12037325e+00,2.67653680e+00,6.02951109e-01,1.45796300e+07
1.42343689e+02,1.08742509e-02,3.55992246e+00,4.33907777e-01,6.41484300e+06
