# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).
# First line contains initial point of trajectory:
0.000000,0.000000,0.000000,0.000000,0.000000140.622012,0.007241,5.964186,1.268787,933278.801472
140.490022,0.004901,0.985976,1.271523,718266.385440
141.996874,3.136814,3.557272,1.235045,570910.511520
140.483749,0.006384,2.191797,1.362489,978308.362944
143.701196,0.002611,3.467093,1.602084,2523263.641055
140.144670,3.137883,2.350640,1.286532,491024.179872
142.681673,0.004067,0.994691,1.229564,422918.838144
140.566287,3.137662,1.014420,1.314277,1669983.371137
143.519808,3.138545,2.455650,1.367021,1363266.233569
142.012790,0.002001,4.094614,1.421969,2607600.568895
141.032295,0.005057,4.770238,1.471718,2678510.908223
140.825728,3.135782,3.879777,1.221951,308961.135648
140.248584,3.132370,5.219416,1.259467,974044.766592
140.438100,3.130378,0.601407,1.172750,248896.787040
142.475081,0.002774,2.524711,1.608508,1607338.424737
141.484785,0.000994,4.454897,1.279705,884584.043136
140.011891,3.132306,0.206100,1.338195,558568.522080
142.148566,0.002609,6.058406,1.359198,1400890.601377
140.530838,0.007691,4.780019,1.331730,490687.580160
140.617656,3.139656,2.968611,1.345832,605842.081632
141.200065,3.139490,0.152433,1.348377,754993.154016
141.181971,0.002719,1.255597,1.356079,592228.493280
144.744269,3.138917,3.620141,1.323240,527451.748704
144.091251,0.002996,2.483692,1.334864,867454.857792
142.082852,0.002605,1.307117,1.390342,442254.621600
141.924925,0.004217,3.280997,1.334510,537100.940448
140.866273,0.009647,1.612440,1.526298,1781248.275937
144.750943,3.137657,6.021828,1.382203,639165.453120
140.444816,0.001913,3.286126,1.224617,294075.948384
141.919168,0.003256,3.553282,1.253999,276423.163488
140.225592,0.003619,4.078226,1.555238,1063991.689633
146.395189,3.140435,3.967898,1.388930,1093949.064001
141.960548,3.137288,1.635846,1.343744,746166.761568
141.827645,0.001494,1.198770,1.205467,316777.728960
146.258526,3.138097,1.749563,1.410859,1162391.005441
143.983189,0.003993,5.691737,1.582918,1554267.870145
144.028675,0.001285,3.194682,1.463762,1758696.095233
140.550166,3.133842,4.651491,1.486396,816927.501024
140.909510,0.001061,4.739575,1.321516,735470.370720
142.468830,0.006415,1.621705,1.644878,1134939.428929
147.957491,0.000031,5.467755,1.323794,1125439.837057
143.935766,3.137998,5.906393,1.249641,472922.595360
142.367601,3.137282,3.358127,1.512635,672189.624864
145.182733,3.140321,0.251822,1.278348,943376.792832
140.073616,3.127665,0.598739,1.232447,428416.633440
143.465483,0.003063,2.909900,1.409759,729336.775968
142.748728,0.004112,2.039228,1.476217,1302940.085185
142.380318,0.003360,1.148577,1.409210,1732067.318017
141.920554,0.002746,0.444953,1.289457,694517.405760
140.484464,0.006707,6.159669,1.297121,578951.504640
141.181650,0.004774,1.757307,1.453172,1939599.740448
143.590538,0.005155,2.924371,1.526108,1144364.220865
140.911690,3.140867,5.880232,1.260005,555726.124512
142.964321,0.006224,3.860751,1.363371,1501384.315393
140.059393,3.132034,5.708129,1.368673,745942.361760
140.335683,0.008819,1.172932,1.744327,3574053.141981
143.887899,3.138885,1.069410,1.726449,1067619.486529
141.699623,0.007021,3.261101,1.522504,703194.198336
145.415179,0.001037,2.795815,1.626400,2977486.252414
141.189682,3.140473,2.572024,1.279440,826165.293120
141.772875,0.000649,4.776973,1.262008,829119.890592
141.499325,3.136706,0.250894,1.185399,201847.627296
140.354822,3.135953,0.322865,1.487673,871456.654368
144.271571,3.139107,3.384415,1.527755,1231880.145985
141.567362,0.005475,2.577290,1.255909,421161.039648
141.734745,3.138815,0.483458,1.260043,427257.234432
140.148496,0.008341,5.896521,1.306996,1247887.332289
140.784841,0.004945,4.121337,1.245223,581569.502400
142.733748,3.137814,0.423084,1.202379,510733.963008
144.224854,0.002093,4.933932,2.037369,1864500.604705
140.453646,0.003112,4.461023,1.221782,714451.588704
141.849419,0.003304,6.018596,1.269680,417009.643200
140.847695,0.004246,5.049414,1.735364,1656594.182593
142.737314,3.137850,4.504335,1.324794,695078.405280
141.148646,3.137287,5.159841,1.215213,330540.917184
140.833841,3.135419,2.335729,1.830515,1717443.930529
141.120600,3.134073,0.658394,1.476826,845912.476224
140.060178,3.137155,5.371569,1.251723,361021.891104
140.970100,3.139480,0.772691,1.543329,2091855.010176
145.824275,3.139422,4.530059,1.274069,262323.375552
143.645024,3.137623,4.163009,1.430235,708953.793408
142.736320,3.139487,4.848965,1.421927,3516569.391165
141.372171,3.136146,1.694024,1.334236,901638.428544
140.516718,3.140259,4.800903,1.380325,535230.942048
140.971325,3.135069,5.276132,1.544436,1952128.729728
140.864928,3.136568,1.298574,1.329483,2314310.019840
140.640670,3.132650,1.172190,1.496994,1089049.668193
143.902656,0.001929,1.551508,1.371276,786820.526784
144.791721,3.140723,2.018392,1.433577,693657.206496
144.725608,3.138398,6.030973,1.318122,888099.640128
140.089409,0.010086,1.733217,1.219628,436308.026688
140.873694,0.000731,2.313970,1.562812,1367043.630337
142.872410,0.003580,2.779719,1.624053,1303276.684897
144.083151,0.003336,3.167904,1.654530,1405677.797281
140.258116,0.007009,3.594267,1.208205,377216.077248
140.416647,0.007358,2.456723,1.408688,982459.759392
143.768974,3.140025,4.691566,1.233662,621624.868128
140.120878,0.010395,4.985055,1.436119,1556287.468417
142.831982,0.002761,6.135731,1.663402,1319695.270849
142.439605,3.140028,1.034371,1.346594,555950.524320
141.642826,3.140316,2.823621,1.705975,660820.034592
141.304497,3.132681,0.993393,1.198369,343593.506016
140.183394,0.005279,1.959585,1.285951,841835.879712
140.008205,0.026860,3.204113,1.149279,479504.989728
140.428375,0.012081,5.271529,1.212501,558867.721824
143.870819,0.001978,1.708751,1.374089,560999.520000
140.539854,0.004826,4.110869,1.376153,1408071.395233
142.441941,0.004698,1.495643,1.308465,1005049.340064
142.602083,0.004551,5.038268,1.304506,1306792.281889
144.251835,0.002289,0.507768,1.517929,3009837.224734
143.666381,3.139044,0.553470,1.726247,3721783.015580
141.102870,0.003828,5.183431,1.315262,392550.064128
141.805228,0.003526,2.865774,1.326951,853168.070016
141.859385,0.002377,6.055648,1.391584,645822.647424
140.217942,3.130900,4.454691,1.558843,682923.415680
144.413314,0.002482,4.139262,1.261701,551948.727744
142.030348,3.140267,3.778990,1.470550,783529.329600
140.917821,0.004564,2.827632,1.350669,545515.933248
142.183068,3.134312,4.768846,1.279680,360423.491616
141.580518,0.003764,5.366808,1.217683,505684.967328
140.410789,0.001552,2.210575,1.313881,422283.038688
142.025473,0.005028,0.677148,1.433476,1222941.553633
142.182174,3.138685,1.953743,1.531376,1239621.939361
140.948365,3.138107,1.672793,1.291072,594397.691424
142.924749,3.138451,0.216692,1.295140,845388.876672
142.921027,0.004261,5.582581,1.453167,1255853.525473
142.663222,0.003088,1.682578,1.480421,590208.895008
141.107883,3.139880,6.206524,1.312438,836899.083936
141.282169,0.000750,3.576446,1.358777,484853.185152
140.413918,3.138151,3.502145,1.351154,1287568.698337
140.642880,0.001022,5.805944,1.523171,1585945.643041
141.031878,3.135549,3.897397,1.424238,1451530.158049
142.454648,0.004236,3.281175,1.268147,422208.238752
140.506228,0.003501,3.322052,1.495759,1376318.822401
140.539995,0.002805,0.422978,1.189470,197958.030624
145.739359,3.136112,5.164677,1.599113,974904.965856
140.391215,3.130634,3.116915,1.247629,846810.075456
144.042829,3.139358,1.340930,1.456195,1734947.115553
144.537971,3.138305,1.853535,1.772201,1538485.083649
142.699653,0.004456,3.442312,1.241309,237452.396832
141.020739,0.005122,4.960159,1.222501,256675.980384
141.325105,0.004571,4.659056,1.244635,435073.827744
140.923728,3.137176,6.084976,1.232051,324070.722720
145.427604,0.001239,1.595711,1.502298,1163700.004321
140.965553,3.136838,2.109638,1.913979,3104982.743326
142.515113,3.139480,5.366103,1.252829,467798.799744
142.806635,0.004951,6.094286,1.168992,632059.459200
141.440718,0.004279,0.571862,1.544061,1170731.198305
143.163870,3.139442,1.690999,1.148100,196649.031744
142.172533,3.138707,2.072535,1.528335,1212806.162305
142.240264,3.137657,0.468039,1.311526,502318.970208
140.988665,0.003461,2.731157,1.324549,412895.646720
140.648499,0.003649,1.539699,1.433137,689094.410400
143.306330,0.002932,3.219519,1.542547,2766849.632639
141.656175,0.004051,2.445525,1.358114,573977.308896
145.228364,3.138508,3.363146,1.503398,1089423.667873
141.943943,3.135783,5.104276,1.349167,841013.080416
141.819565,3.137146,3.007914,1.309744,619156.470240
143.532849,0.002509,4.092288,1.207944,454297.411296
142.505458,3.137090,1.677853,1.622210,2392251.553151
141.781470,0.005731,1.157889,1.286601,534370.742784
141.456741,3.134569,0.071000,1.222507,755404.553664
141.179481,0.002285,5.372455,1.317781,897898.431744
143.211911,0.000645,2.575039,1.258663,601840.285056
142.052784,0.001269,1.597280,1.292575,661156.634304
140.856514,0.011113,2.949707,1.340498,1247662.932481
140.652294,0.004124,0.369899,1.552901,1387164.813121
140.616508,3.139208,5.966374,1.428550,916299.216000
143.453769,3.136585,5.274484,1.285353,436532.426496
140.947420,0.010805,0.695843,1.462364,4263371.952187
143.590866,0.002937,5.311959,1.879142,1672152.569281
144.016144,0.003073,4.331278,1.436357,2050490.645568
140.685460,0.002547,0.699627,1.196911,167664.056544
140.808185,3.136561,4.571530,1.270737,584860.699584
145.577039,3.141497,4.168803,1.396062,1060887.492289
140.718371,3.135931,2.200395,1.347010,833346.086976
141.619350,3.140969,3.467474,1.407763,954671.583168
143.053104,3.138447,3.423352,1.518332,2844379.766302
143.837876,0.001342,4.875353,1.349961,1144364.220865
143.331268,3.140378,4.154686,1.285766,493716.977568
140.578068,0.005377,4.402106,1.216096,234796.999104
140.141014,0.009691,1.498190,1.282842,799274.716128
142.771691,0.004262,3.977859,1.754384,1948613.132736
140.253634,3.135812,1.220654,1.665138,4179932.623579
140.163981,3.139898,3.016917,1.155625,232590.400992
146.812190,0.001455,0.461241,1.920440,3234012.632925
140.670566,3.136514,3.080898,1.264396,590283.694944
142.331413,3.139121,5.299359,1.368858,878450.448384
141.790002,3.141382,5.025153,1.717779,1141035.623713
140.773718,3.130132,6.161600,1.643637,1914205.162177
143.894580,3.139762,4.646558,1.402079,926210.207520
141.659953,3.134398,0.518615,1.259722,353467.097568
140.998271,3.136920,3.989411,1.358203,1233974.544193
140.948705,3.136388,3.612343,1.312765,1061897.291425
141.082258,0.003746,3.731338,1.420066,558231.922368
141.901446,3.137829,5.293388,1.246073,1148216.417569
140.530012,0.006370,3.841999,1.258555,331775.116128
141.884859,3.136127,4.946173,1.346998,785548.927872
141.114001,0.002133,0.680300,1.381217,798676.316640
142.660434,0.002368,1.941248,1.430167,2362705.578431
144.373932,3.138923,6.276613,1.172162,342060.107328
140.114097,3.133218,0.097719,1.592620,1364874.432193
141.434730,0.006367,2.001908,1.285023,604159.083072
141.744097,0.005581,4.728107,1.436383,620876.868768
144.200496,3.139733,3.255602,1.582350,2093949.408384
140.289865,3.136548,4.161783,1.388879,737115.969312
142.399293,3.137864,4.958970,1.282799,602064.684864
140.060647,3.127667,2.831076,1.378626,1115566.245505
144.147808,0.000927,0.232642,1.334947,1518513.500737
141.423962,0.005270,0.539109,1.209605,338245.310592
145.062822,3.141436,2.532055,1.382489,1417458.787201
141.351752,3.139800,3.781602,1.265037,472211.995968
145.217689,0.003920,3.595871,1.909653,1046226.704833
141.644983,3.137448,0.743360,1.312851,626486.863968
141.902836,3.135284,2.290832,1.328098,988256.754432
140.988246,0.003815,5.082395,1.110018,152367.469632
142.175388,3.139528,2.827258,1.185405,321228.325152
140.108465,0.003815,1.979221,1.785366,1742464.509121
142.242603,3.137831,2.155155,2.080861,2204952.513408
141.398529,3.136734,4.541721,1.326493,503328.769344
140.259073,3.139716,5.363155,1.325171,546750.132192
140.559493,0.008204,5.577413,1.250924,444610.819584
140.022532,0.004650,2.386751,1.187909,201398.827680
145.287162,3.136536,0.355429,1.946790,2194592.722272
