# Initial point: r = 1.0 AU, th = 1.5707963268 rad, ph = 0.0 rad, ek = 0.0183, s = 0.0 s
142.763442,3.119312,3.416708,0.458379,21375577.710704
142.319395,3.135133,2.531161,0.472826,20469002.486386
140.044529,0.640146,4.000313,0.216619,28368249.727679
150.059397,3.140702,4.978901,0.386528,22267566.947502
140.380750,2.539400,4.098187,0.221507,30929025.536652
140.029068,3.132007,4.630965,0.720641,67441492.296186
156.973069,0.006897,1.927715,0.454779,56267877.856453
140.118710,0.824802,0.236856,0.194718,38132259.373486
145.146307,3.137072,5.413959,0.642471,50004505.215463
140.276766,3.131521,6.060921,0.718348,61766421.151839
140.571490,3.125727,4.604455,0.385623,18074282.535352
140.169396,0.024386,3.667226,0.293741,13783010.207042
142.575305,0.007548,4.967165,0.359931,35222541.863072
146.851019,0.006777,2.522474,0.834238,44707173.747917
140.168855,3.119995,2.761130,0.332781,28949071.230722
142.047781,3.135605,0.019043,0.599461,27157238.763834
140.052695,2.104260,3.874034,0.160192,26693853.160311
178.419279,3.134052,2.463303,1.244209,42898137.295749
140.213382,3.109482,2.991414,1.019700,32915711.836821
140.473237,0.010254,0.322506,0.209120,16442895.931196
141.507669,0.005174,2.466760,0.378717,55051256.897407
140.025903,0.750400,3.439742,0.112522,45722208.879442
140.488062,0.003912,4.115104,1.032083,43012207.198149
141.113693,0.004399,5.206786,0.362961,32907857.843541
154.815151,0.004245,2.517325,0.784927,24127841.355819
140.419140,0.006361,1.779455,0.400334,28231739.844479
140.571472,3.134198,3.896928,0.427116,21468329.631344
140.177068,0.014317,4.848057,0.311863,16452993.922556
141.521674,0.008074,3.439832,0.572957,23526449.870379
141.095358,3.130870,1.797215,0.448887,49843311.353382
143.071219,0.005376,2.700126,0.610674,33425847.400343
144.587189,0.009291,5.630133,0.400088,42824085.359108
152.315640,0.001103,3.358660,0.607244,81184484.537531
155.161599,0.001276,5.970067,0.989873,29045189.148483
140.374203,2.618830,1.974927,0.696436,64464080.843692
142.824251,3.136893,1.977468,0.394381,16949665.497594
140.024854,0.278807,3.300741,0.082183,26490397.334390
145.753021,3.135875,6.185019,0.449299,34507454.474909
140.015319,1.557385,0.419055,0.069216,23407891.971819
140.151081,0.009314,1.372378,0.228081,26297787.499189
140.116868,2.655727,3.615508,0.376375,76113796.876067
140.166006,1.943800,3.237557,0.167582,42798653.380868
147.884387,0.004645,0.254638,0.634059,45316045.226960
140.258991,2.280448,1.664716,0.053485,21888705.271663
141.316759,0.005131,2.358262,0.363392,12931038.936004
140.202000,1.659573,3.168209,0.041213,20928648.093105
140.091113,2.714998,1.982783,0.053109,34704178.306590
140.135498,0.082937,2.811579,0.088773,17919072.668152
143.633691,3.139575,2.180066,0.489224,22167335.033262
147.434386,3.136459,2.210697,0.463601,27544328.432635
140.037252,3.133496,4.315628,0.617534,70683695.522121
142.752106,3.126282,2.456282,0.384452,38458013.094767
140.075396,1.483199,1.226566,0.207738,49210503.894819
140.306633,0.008534,3.512636,0.196282,21214009.848944
140.225137,0.506258,1.929979,0.046965,20074432.823987
142.810412,3.135682,5.515634,0.431164,50202351.046184
151.399615,0.001724,5.673110,0.873664,63104218.007205
140.364419,1.405236,2.400550,0.135989,17902616.682232
140.164865,2.868368,0.883581,0.386294,44434527.981196
140.185078,1.358882,0.636554,0.189187,32496832.195219
140.642656,0.002860,1.638454,0.448921,49678003.494821
142.168931,3.131161,5.273720,0.358180,15621592.633918
145.348851,0.006994,1.049754,0.608379,33149461.636822
140.575121,1.082472,2.825088,0.319580,37401837.998442
149.338127,0.007804,5.281128,0.493425,27781818.229437
142.031281,3.131954,1.252232,0.530757,17138535.335994
140.178410,2.396283,2.562910,0.081290,18051468.554872
141.766764,0.007763,5.880495,0.573861,37827075.634604
150.170610,0.005105,2.870030,0.903756,66141843.408180
152.788804,0.004545,5.128913,0.834213,21872997.285103
141.034691,3.134632,0.453279,1.000917,24192917.300139
143.181867,3.136828,4.502554,0.628869,24879580.712623
141.313215,0.007015,5.789839,0.317825,25358300.303025
140.394193,0.186827,3.817830,0.238086,27257096.678394
142.015703,0.005226,0.142498,0.605055,37133680.227881
150.639830,0.009929,2.258814,0.371187,54618539.267645
148.097905,3.135048,4.844497,0.758935,34297266.654748
140.159834,1.421524,3.683569,0.173921,40870685.030459
