# Run exit points.  Columns are r (AU), th (rad), ph (rad), ek (GeV), s (s).  Made with my code. 
141.920949,3.126098,3.454114,0.270245,32275798.384338
140.049345,2.843482,0.385168,0.318269,58237734.171022
140.019690,0.024339,5.555214,0.403279,24115873.366059
141.749929,0.012527,3.428425,0.474355,32912345.839701
140.327277,1.518180,2.227719,0.085854,22015117.163503
140.250678,0.008559,0.058939,0.347760,32050650.576977
141.937638,0.006317,5.405194,0.927796,34218726.721947
142.618725,3.138159,0.692623,0.463961,33469231.363224
182.769505,0.000625,3.365055,1.293537,77527141.666794
145.562052,0.004124,5.837465,0.393085,42358455.757506
140.216934,0.005215,1.874340,0.360997,23863797.581738
140.362673,1.770345,5.123362,0.158648,45381495.170961
148.706652,0.004048,4.303783,0.249154,45717346.883602
141.162056,3.134405,3.048324,0.379138,14698187.424000
140.152280,0.015771,3.801950,0.375548,31885342.718416
144.643999,0.000415,0.371518,0.666027,31849438.749136
142.394572,0.008213,2.226402,0.507043,56561467.605254
142.890245,0.002572,5.380633,0.428533,33667451.193625
140.152768,3.138255,5.817322,0.313401,22885788.418541
